id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
15337;Barba e Bigode;Camisa Círculos Coloridos;89;89;Camisa estampada de manga curta com dois bolsos frontais. Estampa: círculos transpassados nas cores preto, marrom, branco, amarelo e laranja.;M;Novo;;VENDIDO;2018-11-17 03:14:15.278852;VERIFICADO
15339;Barba e Bigode;Camisa de Chita Floral Marinho;89;89;Camisa estampada de chita, com manga curta e dois bolsos frontais. Cor do fundo: azul marinho. Estampa: floral nas cores vermelho, laranja, amarelo, azul, branco e verde.;M;Novo;;DISPONIVEL;2018-11-17 02:49:07.023846;VERIFICADO
15340;Barba e Bigode;Camisa de Sarja Floral;89;89;Camisa de sarja estruturada e estampada, com manga curta e dois bolsos frontais. Cor do fundo: azul. Estampa: floral colorida.;G;Novo;;VENDIDO;2018-11-17 03:25:05.199918;VERIFICADO
15341;Barba e Bigode;Camisa Matrioskas;89;89;Camisa estampada de manga curta com dois bolsos frontais. Cor do fundo: preto. Estampa: matrioskas nas cores rosa, lilás, branco e verde.;G;Novo;;VENDIDO;2018-11-17 01:21:19.041539;VERIFICADO
15342;Barba e Bigode;Camisa Leques;89;89;Camisa estampada de manga curta com dois bolsos frontais. Cor do fundo: turquesa. Estampa: pequenos leques nas cores roxo e rosa.;G;Novo;;VENDIDO;2018-11-17 03:27:20.128192;VERIFICADO
15343;Barba e Bigode;Camisa Geométrica Laranja;89;89;Camisa estampada de manga curta com dois bolsos frontais. Estamparia Digital. Cor do fundo: laranja. Estampa: formas geométricas coloridas.;M;Novo;;VENDIDO;2018-11-17 01:21:51.406823;VERIFICADO
15241;Brugg;Jaqueta Cotelê Brugg;199;199;Jaquete de veludo cotelê na cor vinho com forro em tecido padronado. Fechamento com zíper e botões. Possibilidade de utilização da gola fechada na altura do pescoço. Possui 4 bolsos frontais, todos com fechamento de botões. Garimpada em Buenos Aires, Argentina.;XG;Vintage;;VENDIDO;2018-11-17 02:26:24.096284;VERIFICADO
15345;Fera Country;Short Jeans Fera Country;69;69;Short jeans de cintura alta, com bolsos na frente e nas costas. Barra cortada e desfiada. Não possui elasticidade.;38;Vintage;;VENDIDO;2018-11-17 03:17:49.587702;VERIFICADO
15346;Cafuza;Shorts de Sarja Floral;89;89;Peça NOVA, nunca usada. Short de sarja com estampa floral. É forrado. Fechamento por zíper invisível na parte das costas. Não possui bolsos. Não apresenta elasticidade.;P;Novo;;VENDIDO;2018-11-17 01:22:54.939448;VERIFICADO
15347;Fideli;Short Jeans Fideli;69;69;Short jeans de cintura alta, com bolsos na frente e nas costas. Possui elasticidade.;38;Vintage;;VENDIDO;2018-11-17 01:16:18.133290;VERIFICADO
15348;Fideli;Short Jeans Escuro Fideli;69;69;Short jeans de cintura alta, com bolsos na frente e nas costas. Possui elasticidade.;38;Vintage;;VENDIDO;2018-11-17 03:26:10.115475;VERIFICADO
15349;Latreille;Short Jeans Latreille;69;69;Short jeans de cintura alta, com bolsos na frente e nas costas. Barra cortada e desfiada. Não possui elasticidade.;38;Vintage;;VENDIDO;2018-11-17 03:35:57.384287;VERIFICADO
